source,section,title,url,category,status,words,modified
Main website,Page,Carsten Rahbek,https://mjolnir-ucph.dk/Carsten_Rahbek.html,Administration,keep,85,
Main website,Page,Christopher James Barnes,https://mjolnir-ucph.dk/Christopher_James_Barnes.html,Administration,keep,87,
Main website,Page,David Bravo Nogues,https://mjolnir-ucph.dk/David_Bravo_Nogues.html,Administration,keep,87,
Main website,Page,Eline Lorenzen,https://mjolnir-ucph.dk/Eline_Lorenzen.html,Administration,keep,85,
Main website,Page,Enrico Cappellini,https://mjolnir-ucph.dk/Enrico_Cappellini.html,Administration,keep,85,
Main website,Page,Frido Welker,https://mjolnir-ucph.dk/Frido_Welker.html,Administration,keep,85,
Main website,Page,Hannes Schroeder,https://mjolnir-ucph.dk/Hannes_Schroeder.html,Administration,keep,85,
Main website,Page,Hernan Eduardo Morales Villegas,https://mjolnir-ucph.dk/Hernan_Eduardo_Morales_Villegas.html,Administration,keep,89,
Main website,Page,Ida Hartvig,https://mjolnir-ucph.dk/Ida_Hartvig.html,Administration,keep,85,
Main website,Page,Jazmin Ramos Madrigal,https://mjolnir-ucph.dk/Jazmin_Ramos_Madrigal.html,Administration,keep,87,
Main website,Page,Kristine Bohmann,https://mjolnir-ucph.dk/Kristine_Bohmann.html,Administration,keep,85,
Main website,Page,Laurits Skov,https://mjolnir-ucph.dk/Laurits_Skov.html,Administration,keep,85,
Main website,Page,Matthew James Collins,https://mjolnir-ucph.dk/Matthew_James_Collins.html,Administration,keep,87,
Main website,Page,Michael Krabbe Borregaard,https://mjolnir-ucph.dk/Michael_Krabbe_Borregaard.html,Administration,keep,87,
Main website,Page,Morten Tange Olsen,https://mjolnir-ucph.dk/Morten_Tange_Olsen.html,Administration,keep,87,
Main website,Page,Morten Tønsberg Limborg,https://mjolnir-ucph.dk/Morten_Tonsberg_Limborg.html,Administration,keep,87,
Main website,Page,Ostaizka Aizpurua Arrieta,https://mjolnir-ucph.dk/Ostaizka_Aizpurua_Arrieta.html,Administration,keep,87,
Main website,Page,Peter Andrew Hosner,https://mjolnir-ucph.dk/Peter_Andrew_Hosner.html,Administration,keep,87,
Main website,Page,Rute Andreia Rodrigues da Fonseca,https://mjolnir-ucph.dk/Rute_Andreia_Rodrigues_da_Fonseca.html,Administration,keep,91,
Main website,Page,Sandra Breum Andersen,https://mjolnir-ucph.dk/Sandra_Breum_Andersen.html,Administration,keep,87,
Main website,Page,Shyam Gopalakrishnan,https://mjolnir-ucph.dk/Shyam_Gopalakrishnan.html,Administration,keep,85,
Main website,Page,Thomas Sicheritz-Ponten,https://mjolnir-ucph.dk/Thomas_Sicheritz-Ponten.html,Administration,keep,85,
Main website,Page,Tom Gilbert,https://mjolnir-ucph.dk/Tom_Gilbert.html,Administration,keep,85,
Main website,Page,Disruptions,https://mjolnir-ucph.dk/disruptions.html,Troubleshooting,merge_or_reference,37,
